ROWID,Country,SourceYear,Crop name,Area,Production,Yield,Percentage of area under irrigation ( % ),Comments,YearCode,Year
1,India,2019-20,Sunhemp,9.30,6.70,722.00,,,2019,"Financial Year (Apr - Mar), 2019"
2,India,2018-19,Sunhemp,10.30,7.47,728.00,,,2018,"Financial Year (Apr - Mar), 2018"
3,India,2015-16,Sunhemp,11.00,7.49,681.00,,,2015,"Financial Year (Apr - Mar), 2015"
4,India,2016-17,Sunhemp,10.80,8.17,758.00,,,2016,"Financial Year (Apr - Mar), 2016"
5,India,2014-15,Sunhemp,11.60,8.42,730.00,,,2014,"Financial Year (Apr - Mar), 2014"
6,India,2017-18,Sunhemp,10.40,8.46,817.00,,,2017,"Financial Year (Apr - Mar), 2017"
7,India,2002-03,Sunhemp,45.40,9.16,202.00,,,2002,"Financial Year (Apr - Mar), 2002"
8,India,2013-14,Sunhemp,12.90,9.38,730.00,,,2013,"Financial Year (Apr - Mar), 2013"
9,India,2003-04,Sunhemp,37.00,9.59,260.00,,,2003,"Financial Year (Apr - Mar), 2003"
10,India,2008-09,Sunhemp,27.00,9.85,364.00,,,2008,"Financial Year (Apr - Mar), 2008"
11,India,1970-71,Soybean,30.00,10.00,426.00,,,1970,"Financial Year (Apr - Mar), 1970"
12,India,1971-72,Soybean,30.00,10.00,426.00,,,1971,"Financial Year (Apr - Mar), 1971"
13,India,2004-05,Sunhemp,35.50,10.21,298.00,,,2004,"Financial Year (Apr - Mar), 2004"
14,India,2005-06,Sunhemp,33.40,10.33,310.00,,,2005,"Financial Year (Apr - Mar), 2005"
15,India,2007-08,Sunhemp,32.10,10.44,326.00,,,2007,"Financial Year (Apr - Mar), 2007"
16,India,1998-99,Sunhemp,47.50,10.60,223.00,,,1998,"Financial Year (Apr - Mar), 1998"
17,India,2012-13,Sunhemp,17.50,10.64,608.00,,,2012,"Financial Year (Apr - Mar), 2012"
18,India,2006-07,Sunhemp,32.90,10.96,334.00,,,2006,"Financial Year (Apr - Mar), 2006"
19,India,1999-00,Sunhemp,49.80,11.18,224.00,,,1999,"Financial Year (Apr - Mar), 1999"
20,India,1997-98,Sunhemp,54.60,11.61,213.00,,,1997,"Financial Year (Apr - Mar), 1997"
21,India,2001-02,Sunhemp,50.60,11.65,230.00,,,2001,"Financial Year (Apr - Mar), 2001"
22,India,2000-01,Sunhemp,56.30,11.97,213.00,,,2000,"Financial Year (Apr - Mar), 2000"
23,India,2009-10,Sunhemp,24.60,13.27,540.00,,,2009,"Financial Year (Apr - Mar), 2009"
24,India,2011-12,Sunhemp,21.20,13.97,660.00,,,2011,"Financial Year (Apr - Mar), 2011"
25,India,2010-11,Sunhemp,28.20,18.32,650.00,,,2010,"Financial Year (Apr - Mar), 2010"
26,India,1972-73,Soybean,30.00,30.00,819.00,,,1972,"Financial Year (Apr - Mar), 1972"
27,India,1979-80,Sunflower,60.00,30.00,519.00,,,1979,"Financial Year (Apr - Mar), 1979"
28,India,1973-74,Soybean,50.00,40.00,829.00,,,1973,"Financial Year (Apr - Mar), 1973"
29,India,1974-75,Soybean,70.00,50.00,768.00,,,1974,"Financial Year (Apr - Mar), 1974"
30,India,1980-81,Sunflower,120.00,70.00,555.00,,,1980,"Financial Year (Apr - Mar), 1980"
31,India,1970-71,Sunflower,120.00,80.00,653.00,,,1970,"Financial Year (Apr - Mar), 1970"
32,India,1971-72,Sunflower,120.00,80.00,653.00,,,1971,"Financial Year (Apr - Mar), 1971"
33,India,1972-73,Sunflower,120.00,80.00,653.00,,,1972,"Financial Year (Apr - Mar), 1972"
34,India,1975-76,Soybean,90.00,90.00,975.00,,,1975,"Financial Year (Apr - Mar), 1975"
35,India,1978-79,Sunflower,180.00,100.00,543.00,,,1978,"Financial Year (Apr - Mar), 1978"
36,India,1976-77,Soybean,130.00,120.00,988.00,,,1976,"Financial Year (Apr - Mar), 1976"
37,India,1976-77,Sunflower,260.00,140.00,541.00,,,1976,"Financial Year (Apr - Mar), 1976"
38,India,1977-78,Sunflower,270.00,140.00,523.00,,,1977,"Financial Year (Apr - Mar), 1977"
39,India,1981-82,Sunflower,280.00,160.00,564.00,,,1981,"Financial Year (Apr - Mar), 1981"
40,India,1973-74,Sunflower,240.00,170.00,712.00,,,1973,"Financial Year (Apr - Mar), 1973"
41,India,1977-78,Soybean,200.00,180.00,940.00,,,1977,"Financial Year (Apr - Mar), 1977"
42,India,2002-03,Guarseed,975.10,199.20,204.00,,,2002,"Financial Year (Apr - Mar), 2002"
43,India,1951-52,Tobacco,290.00,210.00,723.00,,,1951,"Financial Year (Apr - Mar), 1951"
44,India,2019-20,Sunflower,230.00,210.00,931.00,,,2019,"Financial Year (Apr - Mar), 2019"
45,India,1975-76,Sunflower,320.00,220.00,686.00,,,1975,"Financial Year (Apr - Mar), 1975"
46,India,2017-18,Sunflower,280.00,220.00,782.00,,,2017,"Financial Year (Apr - Mar), 2017"
47,India,2018-19,Sunflower,260.00,220.00,826.00,,,2018,"Financial Year (Apr - Mar), 2018"
