Textbox222,Textbox217,Textbox213,Textbox214,Textbox216,Textbox209,Textbox210,row2,field2,inst_no2,inst_area2
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,1,Below 0.5,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,2,0.5-1.0,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,3,1.0-2.0,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,4,2.0-3.0,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,5,3.0-4.0,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,6,4.0-5.0,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,7,5.0-7.5,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,8,7.5-10.0,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,9,10.0-20.0,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,10,20.0 & ABOVE,0,0
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE : GUJARAT,SOCIAL GROUP : SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,11,ALL CLASSES,0,0

Textbox195,Textbox186,Textbox177,Textbox179,Textbox182,Textbox169,Textbox171,row3,field3,inst_area5,inst_area3,joint_no,joint_area,no_total,area_total
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,1,Below 0.5,11726,3249,8034,2226,19760,5475
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,2,0.5-1.0,17604,13560,8550,6408,26154,19968
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,3,1.0-2.0,30877,44760,11780,17003,42657,61763
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,4,2.0-3.0,16908,40332,6183,14982,23091,55314
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,5,3.0-4.0,7665,26206,3074,10579,10739,36785
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,6,4.0-5.0,5283,23268,1821,8092,7104,31360
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,7,5.0-7.5,4918,29647,1856,11147,6774,40794
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,8,7.5-10.0,1412,11980,574,4896,1986,16876
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,9,10.0-20.0,949,12064,371,4777,1320,16841
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,10,20.0 & ABOVE,144,8406,32,1012,176,9418
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER :  MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN   ABSOLUTE HECTARES,11,ALL CLASSES,97486,213472,42275,81122,139761,294594

Textbox112,Textbox85,Textbox63,Textbox70,Textbox77,Textbox26,Textbox55,row4,field4,inst_no4,inst_area4,joint_no2,joint_area2,indno_jointno,indarea_jointarea,inst_no,inst_area,no_total1,area_total1
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,1,Below 0.5,11726,3249,8034,2226,19760,5475,0,0,19760,5475
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,2,0.5-1.0,17604,13560,8550,6408,26154,19968,0,0,26154,19968
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,3,1.0-2.0,30877,44760,11780,17003,42657,61763,0,0,42657,61763
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,4,2.0-3.0,16908,40332,6183,14982,23091,55314,0,0,23091,55314
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,5,3.0-4.0,7665,26206,3074,10579,10739,36785,0,0,10739,36785
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,6,4.0-5.0,5283,23268,1821,8092,7104,31360,0,0,7104,31360
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,7,5.0-7.5,4918,29647,1856,11147,6774,40794,0,0,6774,40794
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,8,7.5-10.0,1412,11980,574,4896,1986,16876,0,0,1986,16876
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,9,10.0-20.0,949,12064,371,4777,1320,16841,0,0,1320,16841
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,10,20.0 & ABOVE,144,8406,32,1012,176,9418,0,0,176,9418
"AGRICULTURAL CENSUS , 1995-96",TABLE : NUMBER AND AREA OF HOLDING BY SIZE CLASS,STATE :  GUJARAT,SOCIAL GROUP :  SCHEDULED CASTE,GENDER : MALE,NUMBER IN  ABSOLUTE UNITS,AREA IN ABSOLUTE HECTARES,11,ALL CLASSES,97486,213472,42275,81122,139761,294594,0,0,139761,294594

