ROWID,Country,SourceYear,Period from,Period to,Type of Season,Actual rainfall,Normal rainfall,Percentage of departure rainfall,YearCode,Year
1,India,1992-93,Jan-1993,Feb-1993,Winter Season,37.9,41.0,-7.6,1992,"Agriculture Year (Jul - Jun), 1992"
2,India,1992-93,Jun-1992,May-1993,Overall Rainfall,1091.6,1175.6,-7.1,1992,"Agriculture Year (Jul - Jun), 1992"
3,India,1992-93,Jun-1992,Sep-1992,Monsoon Season,830.7,899.2,-7.6,1992,"Agriculture Year (Jul - Jun), 1992"
4,India,1992-93,Mar-1993,May-1993,Pre-Monsoon Season,116.5,121.3,-4.0,1992,"Agriculture Year (Jul - Jun), 1992"
5,India,1992-93,Oct-1992,Dec-1992,Post-Monsoon,106.5,114.1,-6.7,1992,"Agriculture Year (Jul - Jun), 1992"
6,India,1993-94,Jan-1994,Feb-1994,Winter Season,44.5,40.8,9.1,1993,"Agriculture Year (Jul - Jun), 1993"
7,India,1993-94,Jun-1993,May-1994,Overall Rainfall,1184.3,1192.6,-0.7,1993,"Agriculture Year (Jul - Jun), 1993"
8,India,1993-94,Jun-1993,Sep-1993,Monsoon Season,902.1,908.9,-0.7,1993,"Agriculture Year (Jul - Jun), 1993"
9,India,1993-94,Mar-1994,May-1994,Pre-Monsoon Season,106.1,123.3,-13.9,1993,"Agriculture Year (Jul - Jun), 1993"
10,India,1993-94,Oct-1993,Dec-1993,Post-Monsoon,131.6,119.6,10.0,1993,"Agriculture Year (Jul - Jun), 1993"
11,India,1994-95,Jan-1995,Feb-1995,Winter Season,53.1,41.1,29.2,1994,"Agriculture Year (Jul - Jun), 1994"
12,India,1994-95,Jun-1994,May-1995,Overall Rainfall,1297.3,1190.7,9.0,1994,"Agriculture Year (Jul - Jun), 1994"
13,India,1994-95,Jun-1994,Sep-1994,Monsoon Season,999.2,906.8,10.2,1994,"Agriculture Year (Jul - Jun), 1994"
14,India,1994-95,Mar-1995,May-1995,Pre-Monsoon Season,123.5,123.2,0.2,1994,"Agriculture Year (Jul - Jun), 1994"
15,India,1994-95,Oct-1994,Dec-1994,Post-Monsoon,121.5,119.6,1.6,1994,"Agriculture Year (Jul - Jun), 1994"
16,India,1995-96,Jan-1996,Feb-1996,Winter Season,37.4,40.8,-8.3,1995,"Agriculture Year (Jul - Jun), 1995"
17,India,1995-96,Jun-1995,May-1996,Overall Rainfall,1154.6,1189.3,-2.9,1995,"Agriculture Year (Jul - Jun), 1995"
18,India,1995-96,Jun-1995,Sep-1995,Monsoon Season,904.5,904.7,0.0,1995,"Agriculture Year (Jul - Jun), 1995"
19,India,1995-96,Mar-1996,May-1996,Pre-Monsoon Season,94.9,123.9,-23.4,1995,"Agriculture Year (Jul - Jun), 1995"
20,India,1995-96,Oct-1995,Dec-1995,Post-Monsoon,117.8,119.9,-1.8,1995,"Agriculture Year (Jul - Jun), 1995"
21,India,1996-97,Jan-1997,Feb-1997,Winter Season,21.0,40.6,-48.3,1996,"Agriculture Year (Jul - Jun), 1996"
22,India,1996-97,Jun-1996,May-1997,Overall Rainfall,1195.5,1190.3,0.4,1996,"Agriculture Year (Jul - Jun), 1996"
